Value,Timestamp,MetricId,Unit,Description,Entity,IntervalSecs
0.7,1/1/17 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
0.48,12/31/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
1.15,12/30/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
1.15,12/29/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
1.17,12/28/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
1.18,12/27/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
1.15,12/26/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
1.12,12/25/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
1.23,12/24/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
1.22,12/23/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
1.15,12/22/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
1.3,12/21/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
1.4,12/20/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
0.64,12/19/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
0.97,12/18/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
0.53,12/17/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
0.53,12/16/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
0.76,12/15/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
0.64,12/14/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
0.7,12/13/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
0.75,12/12/16 18:00,cpu.usage.average,%,CPU usage as a percentage during the interval,php5_server,86400
